date,Power Consumption,Outdoor Temperature,Occupancy
2018-05-23 03:45:00,89.16999976,10.48,1
2018-05-23 04:00:00,50.00000043,10.44,1
2018-05-23 04:15:00,65.49999957,10.53,1
2018-05-23 04:30:00,66.08999961,10.47,1
2018-05-23 04:45:00,32.69999957,10.44,1
2018-05-23 05:00:00,48.43999965,10.45,1
2018-05-23 05:15:00,46.69000005,10.47,1
2018-05-23 05:30:00,45.59999998,10.54,3
2018-05-23 05:45:00,46.90000015,10.5,2
2018-05-23 06:00:00,47.00000041,10.44,3
2018-05-23 06:15:00,47.24999967,10.53,4
2018-05-23 06:30:00,62.50000043,10.47,4
2018-05-23 06:45:00,64.37999965,10.41,6
2018-05-23 07:00:00,47.79999998,10.41,8
2018-05-23 07:15:00,48.29999967,10.45,7
2018-05-23 07:30:00,46.90000043,10.39,11
2018-05-23 07:45:00,46.70000034,10.47,13
2018-05-23 08:00:00,49.10000034,10.46,16
2018-05-23 08:15:00,47.69000017,10.44,16
2018-05-23 08:30:00,48.89999967,10.43,13
2018-05-23 08:45:00,87.87999961,10.38,14
2018-05-23 09:00:00,71.10000034,10.21,17
2018-05-23 09:15:00,45.70000043,10.17,18
2018-05-23 09:30:00,48.0999996,10.19,25
2018-05-23 09:45:00,47.48999961,10.13,29
2018-05-23 10:00:00,46.39000034,10.17,30
2018-05-23 10:15:00,48.09999962,10.1,27
2018-05-23 10:30:00,45.69999965,10.22,30
2018-05-23 10:45:00,52.8,10.15,32
2018-05-23 11:00:00,75.79000041,10.18,48
2018-05-23 11:15:00,72.38999958,10.18,48
2018-05-23 11:30:00,47.08999954,10.19,49
2018-05-23 11:45:00,47.09999957,10.17,53
2018-05-23 12:00:00,49.10000024,10.22,46
2018-05-23 12:15:00,47.89999957,10.12,49
2018-05-23 12:30:00,48.69000033,10.12,51
2018-05-23 12:45:00,48.49000029,10.13,52
2018-05-23 13:00:00,102.8299997,10.14,61
2018-05-23 13:15:00,70.49000062,10.11,62
2018-05-23 13:30:00,52.38999943,10.17,63
2018-05-23 13:45:00,53.29999993,10.22,64
2018-05-23 14:00:00,55.50000024,10.21,59
2018-05-23 14:15:00,104.8999996,10.37,56
2018-05-23 14:30:00,58.70000024,10.31,59
2018-05-23 14:45:00,76.19999933,10.28,55
2018-05-23 15:00:00,116.2900003,10.42,62
2018-05-23 15:15:00,105.0499996,10.33,57
2018-05-23 15:30:00,124.0999998,10.42,54
2018-05-23 15:45:00,99.83500047,10.34,64
2018-05-23 16:00:00,129.1900004,10.38,73
2018-05-23 16:15:00,128.1899997,10.35,74
2018-05-23 16:30:00,97.19000015,10.48,82
2018-05-23 16:45:00,72.59999914,10.37,82
2018-05-23 17:00:00,118.5800007,10.44,80
2018-05-23 17:15:00,95.49000095,10.63,77
2018-05-23 17:30:00,108.0999997,10.66,77
2018-05-23 17:45:00,142.6999995,10.53,68
2018-05-23 18:00:00,77.69000091,10.52,54
2018-05-23 18:15:00,94.58999996,10.49,56
2018-05-23 18:30:00,113.9899999,10.64,50
2018-05-23 18:45:00,105.4799996,10.69,47
2018-05-23 19:00:00,111.5900004,10.92,54
2018-05-23 19:15:00,89.89000072,11,59
2018-05-23 19:30:00,69.14499922,10.87,56
2018-05-23 19:45:00,102.8000002,10.87,54
2018-05-23 20:00:00,53.80000095,10.8,45
2018-05-23 20:15:00,50.66666703,10.91,47
2018-05-23 20:30:00,53.05476232,11.14,46
2018-05-23 20:45:00,55.44285762,11.82,55
2018-05-23 21:00:00,57.83095292,12.22,51
2018-05-23 21:15:00,60.21904822,12.27,45
2018-05-23 21:30:00,62.60714352,12.13,45
2018-05-23 21:45:00,64.99523882,12.05,45
2018-05-23 22:00:00,64.02333412,12.21,42
2018-05-23 22:15:00,63.39999962,12.21,46
2018-05-23 22:30:00,51.20000019,12.58,48
2018-05-23 22:45:00,70.99999914,11.96,51
2018-05-23 23:00:00,95.59999969,11.87,57
2018-05-23 23:15:00,100.1999994,11.95,60
2018-05-23 23:30:00,83.7999999,11.98,58
2018-05-23 23:45:00,60.26666673,11.88,66
2018-05-24 00:00:00,45.33333337,12.01,0
2018-05-24 00:15:00,62.30000057,12.35,0
2018-05-24 00:30:00,60.18999937,12.06,0
